Team A,Team B,PICK,Flag
Vermont,Maryland-Baltimore County,PASS,PASS
New Hampshire,Massachusetts-Lowell,PASS,PASS
Binghamton,Bryant,PASS,PASS
Florida International,Liberty,PASS,PASS
South Carolina Upstate,Winthrop,PASS,PASS
Marshall,Appalachian State,PASS,PASS
Memphis,South Florida,PASS,PASS
Alabama State,Bethune-Cookman,Alabama State 5.5,BET
UNC Asheville,High Point,UNC Asheville 14.5,BET
Longwood,Presbyterian,Longwood 2.5,BET
Gardner-Webb,Radford,PASS,PASS
IU Indy,Wright State,PASS,PASS
Wagner,Mercyhurst,PASS,PASS
Stonehill,New Haven,Stonehill 2.5,BET
Long Island University,Saint Francis (PA),PASS,PASS
Le Moyne,Central Connecticut State,PASS,PASS
FDU,Chicago State,PASS,PASS
Albany (NY),NJIT,PASS,PASS
Monmouth,UNC Wilmington,PASS,PASS
Drexel,Northeastern,Drexel ML +100,BET
William & Mary,Campbell,PASS,PASS
College of Charleston,North Carolina A&T,PASS,PASS
Samford,The Citadel,PASS,PASS
Chattanooga,Mercer,PASS,PASS
Austin Peay,North Florida,PASS,PASS
Kansas City,North Dakota,Kansas City 10.5,BET
Hampton,Hofstra,Hampton 11.5,BET
Texas State,South Alabama,PASS,PASS
Arkansas State,Louisiana,PASS,PASS
Georgia Southern,Georgia State,PASS,PASS
Central Arkansas,Stetson,PASS,PASS
Tennessee-Martin,Little Rock,PASS,PASS
California Baptist,Utah Valley,California Baptist 8.5,BET
Utah Tech,UT Arlington,PASS,PASS
Southern Utah,Tarleton State,Tarleton State ML -225,BET
Alabama A&M,Florida A&M,PASS,PASS
Texas Southern,Arkansas-Pine Bluff,Texas Southern ML +124,BET
Prairie View,Mississippi Valley State,PASS,PASS
Southern Indiana,Western Illinois,PASS,PASS
SIU Edwardsville,Tennessee Tech,PASS,PASS
Lindenwood,Tennessee State,PASS,PASS
Morehead State,Eastern Illinois,Morehead State ML -135,BET
Tulane,North Texas,PASS,PASS
Cal State Northridge,UC Santa Barbara,PASS,PASS
South Dakota,Denver,South Dakota 6.5,BET
Montana State,Weber State,PASS,PASS
Montana,Idaho State,PASS,PASS
Idaho,Portland State,PASS,PASS
Cal State Bakersfield,UC Riverside,PASS,PASS
UC Davis,Cal State Fullerton,PASS,PASS
UC Irvine,Long Beach State,PASS,PASS
Eastern Washington,Sacramento State,Eastern Washington -2.5,BET
Cal Poly,Hawaii,PASS,PASS
